Date,Open,High,Low,Close,Volume
2023-01-01,151.69,153.09,146.84,152.49,161929
2023-01-02,152.88,157.96,151.64000000000001,152.43,857771
2023-01-03,155.55,156.67000000000002,152.04000000000002,155.52,852878
2023-01-04,162.32,165.79,157.72,162.12,767689
2023-01-05,160.13,163.69,156.39000000000001,161.68,880965
2023-01-06,161.29000000000002,164.79000000000002,156.81,161.24,387313
2023-01-07,169.06,172.14000000000001,163.15,168.06,187468
2023-01-08,174.53,176.69,169.26,171.63,134594
2023-01-09,172.17,171.89,165.27,170.25,291703
2023-01-10,177.23,173.48,171.98,172.92,145033
2023-01-11,170.04,172.82,166.15,171.57,687421
2023-01-12,171.95000000000002,175.66,166.70000000000002,170.21,173861
2023-01-13,172.04,176.98,166.67,171.67,807650
2023-01-14,168.9,168.31,161.53,164.52,393894
2023-01-15,156.5,161.92000000000002,154.08,158.12,664749
2023-01-16,154.69,160.53,152.97,156.37,567016
2023-01-17,151.62,154.28,148.29999999999998,152.82,178222
2023-01-18,150.33,160.11,153.63000000000002,154.58,736308
2023-01-19,150.39999999999998,154.25,150.61999999999998,151.45,893153
2023-01-20,144.78,148.91000000000003,144.44,146.3,644897
2023-01-21,152.96,156.01,151.28,152.66,754801
2023-01-22,152.94,153.01999999999998,146.97,152.26,303981
2023-01-23,156.78,154.44,151.32,153.03,204211
2023-01-24,149.73000000000002,152.39000000000001,141.96,147.83,286321
2023-01-25,145.0,147.11,143.8,146.15,542111
2023-01-26,145.29,150.91,145.59,147.09,587689
2023-01-27,143.97,144.84,138.15,142.99,556956
2023-01-28,142.35000000000002,147.63,140.87,144.99,129984
2023-01-29,146.75,145.18,139.85,143.09,743235
2023-01-30,144.78,144.88,138.86999999999998,142.42,829182
2023-01-31,139.58,144.97,136.06,140.52,105901
2023-02-01,144.98999999999998,150.54999999999998,146.66,148.42,262624
2023-02-02,151.58,152.49,142.89000000000001,148.87,322317
2023-02-03,144.91,148.26,139.27999999999997,145.14,393199
2023-02-04,151.41,153.08,144.85,148.93,793045
2023-02-05,141.36,150.20000000000002,142.95000000000002,144.55,245788
2023-02-06,144.68,150.41,141.64,145.88,738387
2023-02-07,138.54999999999998,140.22,137.64,138.54,635426
2023-02-08,133.82,134.39999999999998,133.06,133.73,790658
2023-02-09,134.12,136.96,133.10000000000002,135.02,123429
2023-02-10,139.72,142.24,135.43,138.47,674488
2023-02-11,137.52,140.44,134.38,139.66,302380
2023-02-12,139.41,142.92,135.19,139.69,541460
2023-02-13,139.23000000000002,142.77,134.41,138.99,872577
2023-02-14,134.61,135.92000000000002,130.74,133.58,345127
2023-02-15,132.61999999999998,135.94,128.79999999999998,131.2,860801
2023-02-16,127.6,130.94,127.30999999999999,129.85,117347
